255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-150,150
-150,150
-150,150
-150,150
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-50,100
-50,100
-50,100
-50,100
-50,100
-50,100
-50,100
255,255
-150,150
-150,150
-150,150
-150,150
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-50,100
-50,100
-50,100
-50,100
150,-150
150,-150
150,-150
-255,-255
-255,-255
-50,100
-50,100
-50,100
-50,100
-50,100
150,-150
150,-150
150,-150
150,-150
150,-150
-50,100
255,255
255,255
255,255
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-255,-255
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-255,-255
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-255,-255
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
-255,-255
-255,-255
-255,-255
-255,-255
-50,100
-50,100
-50,100
-50,100
-50,100
150,-150
150,-150
-255,-255
150,-150
150,-150
150,-150
-50,100
-50,100
-50,100
255,255
-50,100
-50,100
-50,100
150,-150
150,-150
150,-150
150,-150
-50,100
-50,100
-50,100
-50,100
-50,100
-50,100
-50,100
-255,-255
-255,-255
-255,-255
150,-150
150,-150
150,-150
150,-150
150,-150
-50,100
255,255
255,255
255,255
255,255
-50,100
100,-50
100,-50
100,-50
100,-50
-255,-255
-255,-255
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
-255,-255
100,-50
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-255,-255
-150,150
-150,150
-150,150
-150,150
-255,-255
100,-50
100,-50
-50,100
100,-50
-50,100
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-255,-255
-150,150
-150,150
-150,150
-150,150
-255,-255
100,-50
100,-50
100,-50
100,-50
255,255
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
-255,-255
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
100,-50
-150,150
-150,150
-150,150
-150,150
-150,150
-255,-255
100,-50
100,-50
-50,100
-50,100
-50,100
-50,100
-50,100
-50,100
-255,-255
-255,-255
-255,-255
150,-150
150,-150
150,-150
150,-150
150,-150
-50,100
255,255
255,255
255,255
255,255
255,255
100,-50
100,-50
100,-50
-255,-255
-255,-255
-150,150
-150,150
-150,150
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
255,255
255,255
255,255
255,255
-255,-255
-255,-255
-255,-255
-255,-255
255,255
255,255
255,255
255,255
-255,-255
-255,-255
-255,-255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
255,255
255,255
255,255
100,-50
100,-50
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
100,-50
100,-50
100,-50
100,-50
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-50,100
-50,100
-50,100
-50,100
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
100,-50
100,-50
100,-50
255,255
255,255
255,255
100,-50
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
150,-150
100,-50
150,-150
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
-255,-255
100,-50
100,-50
100,-50
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
255,255
100,-50
100,-50
